tweet,subjectivity,polarity,score
 STOP THE STEAL. Sick🤮🤮🤮🤮🤮🤮🤮🤮🤮 biden pedop 💊💊💊💊💊💊💊💊💊💊💊,0,0,Neutral
  As he stole 2016 election and fired everyone who investigated it and proved it. Stop the steal is so perfectly ironic. ,0.9,0.2,Positive
 “sTOp THe stEaL!” How pathetic these Trump cultists are.......,1,-1,Negative
" 

STOP THE STEAL 
GOP STATE SENATORS 
SIGN THE SPECIAL SESSION PETITION
OR 
BE REPLACED IN THE NEXT ELECTION 
BY 
PATRIOTS",0.285714286,0.178571429,Positive
Fucking crazy people 🖕 ,0.9,-0.6,Negative
   Verify the signatures. Stop the steal. Expose the fraud,0,0,Neutral
"  It was in part a ""stop the steal"" protest that desires the results of a democratic election overturned. So yes, that is anti-democracy.",0,0,Neutral
"  Every legal vote was counted multiple times, and Trump lost every recount. Stop trying to steal the election.",0.1,0.1,Positive
" Stop The Steal
Hugy! ",0,0,Neutral
" 
STOP THE STEAL 
GOP STATE SENATORS 
SIGN THE SPECIAL SESSION PETITION
OR 
BE REPLACED IN THE NEXT ELECTION 
BY 
PATRIOTS",0.285714286,0.178571429,Positive
" STOP.
THE.
STEAL.
Stop stealing and when Trump is inaugurated, we will then stop.
Good day.",0.6,0.7,Positive
 This is embarrassing as a teacher. We are not all like this. I’ve been in a few rally’s at the Springfield    State Capitol. Most recent was a Stop the Steal rally. Wackos driving past did similar things. It’s not because she is a teacher. It’s because she is an indoctrinated dem,0.3,0.01,Positive
 you work for we the people so do your job and stop the steal or we will replace you. I am a Ga. citizen and there is so much cheating going on. You sold us out and we will not forget it.,0.2,0.2,Positive
" 
STOP THE STEAL 
GOP SIGN THE SPECIAL SESSION PETITION
OR 
BE REPLACED IN THE NEXT ELECTION 
BY 
PATRIOTS",0.285714286,0.178571429,Positive
" Not with the Biden Cartel, they are planning on punishing businesses by imposing a huge corporate tax, putting large regulations on business and tax working class citizens.

This is why no one voted for Biden.  This is why we must stop the steal.",0.442857143,0.204761905,Positive
 Yes and use your influence to stop the steal,0,0,Neutral
   We won’t let her forget. If they don’t Stop The Steal we will make sure the GOP is destroyed.,0.888888889,0.5,Positive
" 
STOP THE STEAL 
GOP SIGN THE SPECIAL SESSION PETITION
OR 
BE REPLACED IN THE NEXT ELECTION 
BY 
PATRIOTS 

JOIN THE RALLY",0.285714286,0.178571429,Positive
 Republicans are using the “stop the steal” slogan we should be using “stop the lies”,0,0,Neutral
"Practicing my ""feel, felt, found"" on this ""stop the steal"" robocall.",0,0,Neutral
FFS     DO NOT AIR VIDEO of people protesting (?!) Stop the Steal. IT'S TRUMP PROPAGANDA and should be banned from all legitimate US news programming. Stop airing TRUMPSCAM. NOW.,0.1,-0.1,Negative
 THANK YOU!!! YOU ARE A TRUE PATRIOT OF WE THE PEOPLE !!! STOP THE STEAL!!!,0.65,1,Positive
"      The fact that you retweet stop the steal bullshit means the only thing you are qualified to talk about on the bird app is sports, sit down",0.644444444,-0.077777778,Negative
   JaxxG STOP THE STEAL! Trump WINS 2nd Term - this Twitter account is so obviously run by a Russian surrogate - but you keep trying. Use your real name buddy.,0.2,0.1,Positive
"I GUESS Vanilla ISIS was at it again in Michigan Sat.morn.! Armed protesters showed up at Michigan's top election official demanding a STOP to the STEAL! How did I miss that one! HOW BOUT WE ""STOP THE SQUEAL"" order on RUMPS BIG MOUTH the whiny WUSS!!!!",0.3,0.390625,Positive
Michigan Secretary of State Jocelyn Benson's home picketed by armed 'Stop the Steal' protesters alleging voter fraud - The Washington Post DetroitPolice were slow to respond. Why was that? ⁦⁩  ,0.4,-0.3,Negative
"""Stop the steal"" ""arrêtez le vol"" ! C'est le slogan qui résume les résultats de l'élection présidentielle aux USA ",0,0,Neutral
"Calendar of joint committee hearings in AZ this week!😠WORTHLESS, ALL of YOU!! STOP THE STEAL (or you’re on Biden’s payroll) How many won’t ever vote again, if no forensic audit of Dominion machines ASAP?? 
Raise your hand✋🏽 ",0.5,0.5,Positive
" Noooo... we can’t stop, stop the steal talk. Get over it.",0,0,Neutral
" On the same day a republican federal judge tossed out the massive Sidney Powell “kraken” in Georgia? 

Stop trying to steal an election traitor",0.5625,0,Neutral
Unrealistic that the Dems could steal the election - yet the GOP could ram through and undertake all these actions and the Dems  were powerless to stop it. ,0.95,-0.5,Negative
 🙏🙏 Stop The Steal,0,0,Neutral
  STOP THE STEAL!!,0,0,Neutral
 We love President Trump! Stop the steal. ,0.6,0.625,Positive
"  Less and less by the day!  Only option likely remaining for  to stop the steal after all other legal/political options fail is invoke the insurrection act/declare martial law until new, truly free &amp; fair elections can be held under military auspices per ",0.460261708,0.012396694,Positive
What You Can Do To Help President Trump Stop The Steal – Lunch Alert! ,0,0,Neutral
 well done.  They can also steal your phone in the cafeteria and no one...no one at all will attempt to stop them.  Stay on guard. ,0,0,Neutral
" STOP THE STEAL!!!!

It is time for real, thorough investigations into all of these reports!!  We know the numbers don't add up and we must reject any ILLEGAL ballots!  This ain't over!!!

FightForTrump",0.4,-0.34375,Negative
"Dozens of armed ""stop the steal"" protesters threaten Michigan Secretary of State outside her house  via ",0.05,0,Neutral
STOP THE STEAL RALLY DEC. 12TH AT FREEDOM PLAZA IN DC AT NOON ,0,0,Neutral
       WOW TREASON AT EVERY LEVEL  STOP THE STEAL.,1,0.1,Positive
" The media lost that poll because of fraud. I saw empty ballots being sneaked into the vote counting area by aliens. 
My cousin from Venezuela works for Dominion and he overheard hugo Chavez and the Chinese telling management to fix the algorithm to favor Trump. Stop the steal!",0.25,-0.05,Negative
" If you allow our election to be stolen how different is that then the Dems defunding the Police? They are going to defund the Police, close small businesses, sell us off to China and more! You can stop the STEAL and stop it all!",0.5,0.177083333,Positive
   The stop the steal losers are the biggest bunch of Karen's known to men.,0.2,-0.2,Negative
" LOL I think it's hilarious that they would yell with all caps ""get over it"" but now they can't seem to follow their own advice, instead the poor snowflakes are now yelling ""stop the steal"" !!",0.825,0.31875,Positive
"   If you were trying to 'stop the steal', you would be fighting against Trumps seditious efforts to steal an election he lost.",0,0,Neutral
"   Are you serious? Hillary conceded. She didn't try to undermine our entire democracy by trying to toss out millions of legal ballots. She didn't hold rallies with ""Stop the Steal"" as her theme.  If you think this is anywhere near 2016, you are definitely blinded.",0.478333333,-0.006666667,Negative
 Trump is going nowhere............HE won and will be in the White House for another 4 years..............Stop this Steal nonsense,0,0,Neutral
  Yes!!   'Stop the Steal' slogan is something Roger Stone would create...as he did in 2000 Gore recount...,0,0,Neutral
"  STOP THE STEAL!

It’s one person one vote, not 4 people 240,000 votes.😡😡😡😡 ",0,0,Neutral
 Stop the Steal,0,0,Neutral
  He now has plenty of money from his 'stop the steal' bullcrap fundraising to pay an army of packers and movers. Hopefully  some of what he and the grifters take actually belong to them.,0.1,0,Neutral
     WE WILL STOP THE STEAL,0,0,Neutral
 STOP THE STEAL NOW. IF REPUBLICAN  DID THIS THEY WOULD BR HUNG OUT TO DRY. STOP THE STEAL. CHARGE NOW. STOP THE STEAL NOW.ENOUGH IS ENOUGH.m.m.,0.6,-0.066666667,Negative
"Before the ""full stop"" it was a Trump landslide. Can't steal what's rightful yours. ",0.55,0.35,Positive
  Stop the Steal,0,0,Neutral
Stop the steal ,0,0,Neutral
"One must admit that trump supporters running around with signs and shouting ""stop the steal"" while he is stealing their money to pay his upcoming legal bills is a touch ironic......no?",0.2,0.2,Positive
"Spread the word like peanut butter!!!! They can't ignore 74-million people calling. Overload their phone lines. It's down to us. We have to make noise.

",0.288888889,-0.155555556,Negative
"What % of  actually hate you Trump/MAGA supporters?

Looking like 90% to me. 

Clearly Brian Kemp hates you. So much he perpetrated fraud to stop your vote.

And the  isn't stopping the steal anywhere",0.494444444,-0.166666667,Negative
"  Unfortunately, strongly worded letters seem to be out of style. Maybe you should have tried a strongly worded tweet as it seems to work for tRump — just look at all the people who believe the voter fraud BS and are crying ‘stop the steal’ because DiaperDon said so.",0.688888889,0.222222222,Positive
" ""Stop the Steal"" was a slogan developed by dirty trickster Roger Stone. ",0.55,-0.25,Negative
"   When you consider how much he has raised to stop the steal, it was simply an investment that has paid off 20 times and more. Probably his greatest con of his supporters.",0.514285714,0.425,Positive
"For all you white nationalists screaming Stop the Steal, it's time to pull your noses out of Trump's ass and GET REAL!

Trump will never be a president again!",0.15,0.15625,Positive
"Trump asked officials to break the law.
50 cases with no evidence of election fraud lost by trump clown car of attorneys.
Armed group in MI outside AG house chanting “stop the steal”.

  does, says nothing.

Indict criminal trump.
 ",0.3,-0.2,Negative
"Protesters Gather Outside Home of Michigan Elections Chief, Chanting ‘Stop the Steal’  via   PrideFamily",0.05,0,Neutral
"  Good gawd.  When 46 cases have been denied or dismissed, more than a few by conservative judges..including trump appointees...because the alleged fraud really isn’t fraud, well thinking people conclude that it’s time to stop the right wing’s attempt to steal the election.",0.339285714,0.230952381,Positive
"Armed Trump supporters gathered outside of the home of Michigan's Secretary of State chanting ""Stop the Steal.""  This is absolute lunacy!!  MI has been counted, recounted and certified for Joe Biden.  This nonsense needs to stop before people start getting hurt!",0.475,0.1953125,Positive
"""Conservatives"" in the  allowed a shallow man, to run his government like a CULT.
This will be the legacy of ""conservatism.""
Trump OWNS the 
""Stop The Steal"" 👇👇

       
 ",0.5,-0.333333333,Negative
    And I’m still not clear on what the threatening message was? Because I’m alive all I saw was them screaming things like stop the steal… And how much they love America and about corruption. That’s not threatening messages,0.395833333,0.1875,Positive
 The whole premise behind ‘stop the steal’ is ridiculous. Let’s have courts and legislators disregard their own laws and just decide the election results themselves. That sounds more like Venezuela than anything else I’ve heard.,0.72,0.113333333,Positive
"ALERT: ""Stop the steal"" protesters threaten Michigan official at
home - Global Pandemic News | Coronavirus COVID19 Protests -  ",0,0,Neutral
" ""Stop the steal"" - don't send your money to Chuck to support bogus claims.  Sad, very sad.",1,-0.575,Negative
"Imagine how much PATRIOTIC DAMAGE TO AMERICA we could cause with dueling presidential rallies on Inauguration Day. We'd send a CLEAR MESSAGE to DEMOCRACIES of the world--Russia, Hungary, Saudi Arabia--that this is TRUMP'S AMERICA OR NOBODY'S AMERICA. ",0.291666667,0.15,Positive
  The Oregon doctor who spoke out at the stop the steal rally just got his license pulled because of saying this bug was no more than the common cold and refused to wear a mask. More and more are trying to speak out.,0.6,-0.03,Negative
" stop the Steal and tweet these peopleGeorgia 

￼gov






Pennsylvania 





Michigan 


",0,0,Neutral
STOP THE STEAL UNITED STATES OF TRUMP  [3©]   !!!  HUMANRIGHTS ,0,0,Neutral
" Stop the steal, is that so hard to do? Unless they are part of this stealing",0.541666667,-0.291666667,Negative
"What You Can Do To Help President Trump Stop The Steal – Lunch Alert!    Stop the steal, follow Dick's advice!",0,0,Neutral
STOP THE STEAL!!!!!,0,0,Neutral
  President Trump you are the GREATEST President America has ever had !!! The whole world knows that you won by a landslide !!! It is absolutely disgraceful how disrespectful you have been treated !!! WE HAVE GOT TO STOP THE STEAL !!!! WE LOVE YOU !!!,0.725,0.830215454,Positive
" Stop the steal, yet they'll send dump their last $10, and he's putting it directly in his pocket. They'll pay his $600 million debt in no time.",0.233333333,0.05,Positive
Trumpers when they get their 100th “Stop the Steal” donate now email. ,0,0,Neutral
"Trump supporters holding ""Stop the Steal"" signs should be awarded honorary PhDs in irony.
StopTheSteaI ImpeachedOneTermLoser",0,0,Neutral
" At this point, of the new monies collected during the stop the steal 'donations', the more he pays lawyers, the less he has to pay off Deutsche Bank, the Chinese, the Russians, the Saudi's and Qataris.",0.25530303,0.117424242,Positive
    Stop the Steal,0,0,Neutral
 That’s because chanting “stop the steal” is not a crime.,0,0,Neutral
"Also  McClean you have until 5:15 PM today to speak up.  Fight's on.  boh.idaho.gov is the e-mail address to PLEASE support masking.  Let's GO and stop the steal.. of human life, of medical treatment, of your tenure, of our friends' lives and yes Summer 2021!! 😷🇺🇸",0.05,0,Neutral
"Yes we have to start even with baby steps such as buying small HOMEGOODS, cheap toys, food. I know is hard to even stop shopping at Chinese Grocery stores...we have to DO SOMETHING just like we have to STOP THE STEAL      ",0.428333333,-0.028333333,Negative
"who's dumber: people who gave to Biden's post-Election Day fundraiser, or people who gave to Trump's Stop The Steal scam",0,0,Neutral
 Stand up for our President!  Stop the steal!  Get involved!,0,0,Neutral
Armed Thugs Showed Up at the House of Michigan's Secretary of State Shouting 'Stop the Steal' ,0,0,Neutral
 Stop the steal!! Boycott 5th Jan election!! Lin is right! They don’t deserve our vote.,0.535714286,0.357142857,Positive
 DON’T CONCEDE!!! STOP THE STEAL!!!,0,0,Neutral
"His idiot MAGAts are paying for most of it, from the $200 million +, he`s conned from them, via his ""Stop the Steal"" campaign, but he`ll have plenty, left over, to flee to a country that doesn`t extradite to the U.S.! ",0.433333333,-0.1,Negative
Stop the steal in US too! ,0,0,Neutral
   Recount all Republican wins!  Stop the corrupt steal.,0.6,-0.0625,Negative
"  No. No, he didn't. Majority of American voters and 306 EC votes say so.

The only people who are trying to steal the election are trump and his minions. Continuing to promote this conspiracy nonsense is revolting and needs to stop.",0.5,0,Neutral
"   You really think trump is trying to ""stop the steal""? He's lying to you and you're all lapping it up. He's raked in $200,000,000 from gullible people just like you",0.2,0.2,Positive
"   Police Dept over &amp; relieve it of weapons ,drugs, etc ? But peaceful protestors who were for the most very quiet in comparison are accused of cussing and threatening you and your families safety? Cause they said stop the steal in a megaphone ? The word murderer ? Did it apply 2u?",0.477777778,0.25,Positive
STOP THE STEAL!!! ,0,0,Neutral
   I don’t care how much you hate Trump we voted for him! Stop the steal,0.55,-0.4,Negative
" This insanity only happens in Democrat run cities and sates.
StopTheSteaI and make sure their ALL voted out in the future ➡️ problem solved.

*We will stop this steal &amp; Trump will have 4 more years.

P.S. Fox News has been in on the steal. FoxNewsIsDead.",0.628472222,0.25,Positive
 what are you hiding and who are you defending? Stop the steal and order a signature audit.  Bring in forensics if you have nothing to hide    ,0,0,Neutral
STOP👏THE👏STEAL👏,0,0,Neutral
Stop the Steal ,0,0,Neutral
 you gotta stop trying to run a coup! Your NOT Smart enough! And everyone else that you think can help you steal the Voices/Votes from TRUE Patriots are just Enemy of the State Trying to Steal the Will of The People! You’re going to be expelled LOSER!! BIG TIME!,0.473214286,0.144112723,Positive
"  I couldn't help noticing where you got your architectural idea. You just CANNOT stop plagiarizing, can you? And to steal from the Clampetts? Honey, you're not even fit to wash the bottom of their cement pond! ",0.4,0.5,Positive
"Saturday Dec 12, 2020 at 12 pm at Liberty Tower in Miami Florida.

STOP THE STEAL peaceful protest. Be sure to attend.

Special guest include the one and only ROGER STONE.

Don't miss it &amp; show your support for  . ",0.740079365,0.276785714,Positive
" No trumpy. There is no way you won this election. You lost it by over 6 million votes, no amount of lies from you can change that. Stop trying to steal the election. All you're going to do by that is lose a whole lot more. But maybe you enjoy losing, as you clearly are good at it",0.476666667,0.38,Positive
" NEWSFLASH: It doesn't matter how much you call, how many ""USA"" or ""Stop The Steal"" chants you arrange in the cordoned off area of the Capital...  sold out for 30 pieces of Silver and untold Yuan

End Voluntary Servitude

Georgia election was a fraud 
Disobey",0.35,0.35,Positive
 Must have an audit into your race. I do not believe you won. I demand a recount. I demand a signature audit. I call election fraud. You stole the election. Stop the steal. Lindsey cheated.,0,0,Neutral
"Seditious and cowardly bullies!
Armed Trumpists Surround Michigan Secretary of State’s Home Screaming ‘Stop the Steal’ ",0,0,Neutral
"""STOP THE STEAL""
THE FRAUD IS REAL!!!",0.3,0.390625,Positive
"Stop the steal. This is the greatest country in the world and the light for many. Why the left so hell bent on putting the light out. America is the land of apportunity for all, Through Hard Work. Not the government. TRUMP 2020 He made America great again. Not biden in 45+ yrs.",0.598809524,0.401190476,Positive
It is time stop the steal or all out war! Veterans ready! ,0.5,0.25,Positive
" Yes, the plot is to stop terrorists who decided Christmas was a good time to take the high rise. Much like in Home Alone, the robbers wanted to steal from empty houses during Christmas. I'm not here to change your mind.  I just think the ongoing controversy is HILAROUS...",0.46,0.24,Positive
"Jacob is my boyfriend. It is best you stay away from him. Stop trying to steal my boyfriend, my husband, the love… — bae ur delusion 😋 has ur unrequited, one-sided love messed with ur head that bad? yikes. try harder next time, h… ",0.313333333,0.14,Positive
"Flag waving, armed protesters swarm Michigan secretary of state’s home over election results.

Benson and her four-year-old son were about to watch a Chistmas movie when armed protesters arrived, chanting ""Stop the steal"". ",0,0,Neutral
     Wow!! Every American should see. Stop the steal,0.5,0.078125,Positive
   Stop the Steal makes for a nice sound bite slogan. That’s all it is since there is zero evidence of anything. 1-47. losing,0.7,0.5,Positive
  You need to focus on taking ACTION to stop the attempt to steal the November 3 election! Did you even take time to watch the Georgia hearings where multiple witnesses testified about the blatant fraud.  Did you watch the fraud take place in Fulton County on video?STOP THE STEAL!,0.2,-0.166666667,Negative
 This makes me so angry. I legally emigrated to this beautiful country with my children from England 21 years ago because I believe in the American Dream. I wanted a good life for my children and now my grandchildren. My heart is breaking. Stop The Steal,0.56,0.25,Positive
"  wow did she go to there homes and threaten them? no this is fuckin bullshit,stop the steal? direct that sentance to trump,he is the theif not 80.000.000 voters who fired him,the police??? lol yah ok not blm?actually they injured blm",0.65,0.375,Positive
"Joe Scarborough today compared hippie free love anti-war radicals of the 1960s from Haight-Ashbury to modern day stop the steal, rigged election, Trump supporters. 🤔 wtf! Hippies helped end the Vietnam war, stood up for women’s rights &amp; racial justice, how is that comparable?  ",0.675,0.11875,Positive
Feel like my friends aren’t helping in the fight to stop the steal 😕,0,0,Neutral
"If Democrats are able to get away with stealing the election, they will steal Georgia again. I hope you are not under the illusion that they won't cheat again. If Republicans lose the runoff, they only have themselves to blame. They are refusing to stop the fraud.",0.8125,0.25,Positive
"  we need that here inside USA to stop the steal, time to destroy the corruption of the deep state, we the people needs you here not outside defending the money of the deep state, time to defend us, here, time to destroy deep state",0.208333333,-0.066666667,Negative
"Michigan Secretary of State Jocelyn Benson's home picketed by armed 'Stop the Steal' protesters alleging voter fraud - The Washington Post

This is absurd. This is dangerous. There was no steal. Trump threatens our democracy. GOP is silent and complicit.  ",0.666666667,-0.366666667,Negative
 Stop the steal our voices must be heard!💪🏼,0,0,Neutral
"  $207 mil has been donated to his stop the steal campaign, only 8% has gone into his defense fund. The rest is going to his campaign retirement fund, these are facts and stated in the small print when you donate. Enjoy at least 4 years of President Biden.",0.575,-0.0375,Negative
What You Can Do To Help President Trump Stop The Steal - Lunch Alert! -  at  ,0,0,Neutral
 I was at the Springfield Mo rally in 2018. PDJT gave you a strong endorsement and helped get you elected. He needs your help and support now. Time to step up and show which side your on. Stop the Steal / Fraud. Yes to Voter ID.,0.733333333,0.433333333,Positive
Stop the steal!!  ,0,0,Neutral
Stop The Steal ,0,0,Neutral
"  Stop the steal and the underhanded lying.  This is the worst Fraud ever encountered by the United States of America , and you will not get away with it.  The American people will always protect their Constitution.",0.5,-0.5,Negative
 STOP THE STEAL,0,0,Neutral
"   🙄 There's no steal to stop, except for the money Trump is grifting from supporters. He cries ""Biden cheats!"" while he scams his spellbound base. 😅",1,-0.8,Negative
"Hey, Longenecker, it's you Republican voters.

Dozens of armed ""stop the steal"" protesters threaten Michigan Secretary of State outside her house  ",0.05,0,Neutral
  We had a free and fair election! Stop trying to steal it from us because you don't like the results!,0.85,0.7,Positive
"    If the election was stolen from Trump and the system is rigged, why should voters vote for Loeffler and Perdue? Loeffler and Perdue didn’t deliver from Trump. Folks shouldn’t deliver for them! 

Defend Trump and Stop the Steal! Boycott the Vote!",0,0,Neutral
": Manhattan DA is “extremely punitive when prosecuting low-income communities of color &amp; pretty weak when prosecuting the rich &amp; powerful”

 is aiming 2 reduce the  of ppl in jail, stop drug prosecutions, &amp; go after bad bosses who steal worker’s wages... ",0.720238095,-0.053571429,Negative
 STOP THE STEAL !!!!,0,0,Neutral
  It had some of the most compelling evidence to steal an election in history. So much in fact that it led to an audit of the Dominion machines. Don't be surprised if MI flips to Trump. As for the virus...it's a 99.98% recovery rate. Move on with life and stop being an idiot.,0.6,0.06,Positive
"Quick chat with Lauren Morris, Austin, Texas, Stop the Steal 11.14.20 ",0.5,0.333333333,Positive
 “Stop the steal”; The Rights version of unity (declare martial law),0,0,Neutral
"“The “Stop the Steal” Movement Is All About Money” by 
",0,0,Neutral
" Stop the steal! Stop the steal! Stop the steal!

We need military tribunals now! ",0.1,-0.125,Negative
 Call the Legislature to session!!!! Stop the Steal! Georgians will NOT STAND FOR FRAUD!,0,0,Neutral
" Stop the steal, stop the steal 💀💀💀💀 ",0,0,Neutral
"Dr. Steven Latulippe has had his license suspended after the Oregon doctor made anti-mask comments at a pro-Trump ""Stop the Steal"" rally: ",0,0,Neutral
"I'm not trying to make you Stop the Steal people feel stupid, but Georgia has certified the election for Joe Biden for the third fucking time. Maybe having no evidence in 50 court cases, lawyers contradicting each other, and batshit crazy witnesses should be a sign at this point?",0.615,-0.425,Negative
 esse foi do Carluxo traduzido no google tradutor.. hahhahahaha stop the steal hahahahahahahhaha,0,0,Neutral
 Are you going to start attending the stop the steal rallies?,0,0,Neutral
"  Oh My🥴
The ‘Stop the Steal’  logo
looks like an unfinished swastika. How apropos.",0,0,Neutral
"  Big crowd of 9 of them that I saw protesting the STOP THE STEAL rally in Schaumburg, IL yesterday. ",0.1,0,Neutral
"  Fun to watch but dangerous as hell. Those ""stop the steal"" lunatics are talking about ""bringing about"" the end times. 

Vanilla Isis.",0.55,-0.15,Negative
