tweet,subjectivity,polarity,score
"        Just imagine If the shoe was on the other foot? Dems would have gone to any length and the lamestream media would've been screaming at the top of their throats!

How many state cases can be taken to SCOTUS?",0.458333333,0.333333333,Positive
Another day of being lied to by the Lamestream Media smh ,0,0,Neutral
"  Not to make a habit of this but call the lamestream media 
and take a bulldozer to that crap.",0.8,-0.8,Negative
" and  ,“funny” Fact: Donald’s COVID positive test back on Oct. was on all media, but all other important subjects not. Last week’s Public Hearings no “lamestream media” covered them ZERO, but now all of them cover Rudy’s COVID positive test. Ludicrous",0.449905303,0.122443182,Positive
  i could tell you why but your retentiveness would allow your head out of your ass long enough to absorb anything other than lamestream media ,0.425,-0.058333333,Negative
"Lamestream media nbc, cbs, abc won't tell you this TRUTH!
NEWSMAX WILL ",0,0,Neutral
  I wonder where the lamestream media got the rumour of his plans to resign from 🙄,0,0,Neutral
"False. Fake news. He was actually hired to be head coach, assistant coach, president, head water buffalo, executive VP of sales, and manager of the hottest act in pro wrestling, the nWo. If only the lamestream media elites would report this! ",0.675,-0.225,Negative
"Check this out! ""Truth Warriors Alliance""
In such a difficult time when all the lamestream media are useless, or even poisonous, it is important to spread the truth and to provide independent opinions and analyses. 
I am proudly one of the ""Warriors"". 
",0.6375,0.033333333,Positive
" Current: Partly cloudy with scattered tweets; 63% chance Donald Trump posted this himself.

Tweet Forecast: Enter the White House as President if he can bluff his way through these two Fake News Lamestream Media. They will not be reported!",0.466666667,-0.208333333,Negative
"Lamestream lying media created people like this indoctrinated brain damaged woman. Big media denies truth in 1 word: ""baseless"". Healthy citizens are left with  tasks of constitutionally over-ruling tyranny. We must at least financially support those brave ones devoted to that. ",0.333333333,0.166666667,Positive
"  THE LAMESTREAM MEDIA IS CONTROLLING OUR THOUGHTS, I USED TO THINK ABOUT NAKED MEN ALL DAY BUT NOW I CAN ONLY THINK ABOUT A FULLY CLOTHED CHUCK TODD",0.7,0,Neutral
   It's so sad that she has so much class and elegance and the lamestream media ignores her!!!,0.6,-0.0546875,Negative
" THE LAMESTREAM MEDIA IS CONTROLLING OUR THOUGHTS, I USED TO THINK ABOUT NAKED MEN ALL DAY BUT NOW I CAN ONLY THINK ABOUT A FULLY CLOTHED CHUCK TODD",0.7,0,Neutral
"   THE LAMESTREAM MEDIA IS CONTROLLING OUR THOUGHTS, I USED TO THINK ABOUT NAKED MEN ALL DAY BUT NOW I CAN ONLY THINK ABOUT A FULLY CLOTHED CHUCK TODD",0.7,0,Neutral
 Kevin &amp; Keith—y’all are exactly right!  Lamestream Media DOES NOT call and/or determine elections!  All kiiiiiii ds of fraud in this election!  Allllllll kinds!!  YEEEEEEEEAAAAAHHHH‼️🇺🇸🇺🇸,0.535714286,0.871930804,Positive
 All of our lamestream media networks are Dumpster fire shit shows. CorruptDemocrats BidenWasNotElected,0.8,-0.2,Negative
"   I'm the gullible one? I don't think there was widespread election fraud. None of the court cases have provided any evidence. If Rudy's press conferences make you feel better, then that's good for you. 'Lamestream media'. You're like a little Trump baby.",0.533333333,0.3375,Positive
   Okay so what would you suggest if you don't like news Max and one America news..... All of the news channels (The lamestream media) Is blaming everything on Donald Trump and has been for 3+ years. Looks like you're just really gullible.,0.35,0.35,Positive
"Funny how the Majority of Americans dont need Big Tech, Fake Lamestream Media to tell us what to do, or what to believe. 
But without them showing us what they tried to do

It now removes all doubt

This has been a 4 year setup of a sitting President

&amp; It didn't stop @ election!",0.7,-0.125,Negative
 Working?  The  lamestream  media  hasn't  worked  in  over  a  decade!  The,0,0,Neutral
It was a miracle this lamestream media published this. ,0,0,Neutral
 The entire Media narrative is ridiculous when the Lamestream Media tries to tell us that the U.S. with far superior treatments and medical facilities has 3X the cases of 3rd World countries.,0.560714286,0.052380952,Positive
 Only the losers who still watch lamestream media. The fake news wants to control your calendars by pretending that 2020 happened. But really we skipped straight from 2019 to 2021 and the so called 'year' in between is just a grand old hoax.,0.5125,0.0625,Positive
" Not really, we have been being censored for years,by our so called fake lamestream media. They are so lazy, to find the truth  on all sides. We never here the truth about other countries just what they want us to here, just like China they only hear propaganda",0.6125,-0.179166667,Negative
"Barack Obama, Joe Biden, DNC and bias Lamestream Media thought they had balanced the Ballots Paper only to realize they are not mathematician... 

Americans are smart people... 

Counting all legal Votes,

Stops the Steal!",0.614285714,0.154761905,Positive
   Listen to the lamestream media. They deny it all say Biden won and warn that Pres Trump better not pull any stunts!,0.5,0.625,Positive
    Totally agree. The guy's been listening to the Lamestream media. If it doesn't get forensically investigated there is no justice in their Justice system,0.75,0,Neutral
"     Calling the media “lamestream media” (with a capital ‘L’ no less) tells me all I need to know about your abilities to vet sources for facts that match reality. Hillary Clinton lawyer sites? LOL. And, I don’t buy the bit about twitter censoring pictures of Santa or Jesus.",0.383333333,0.441666667,Positive
More lies from the lamestream media! ,0.5,0.625,Positive
"Yep, just like most of the lamestream media! ",0.5,0.625,Positive
 the lamestream media sucks,0.3,-0.3,Negative
 🗣That is the part that got me bro...they believe every freaking thing the deranged draconian power  hungry liberals say or do and the brainwashing + manipulating are powerful tactics the democraps and lamestream media use against the masses.Jesus is the only help for them bro!🙏🏼,1,0.15,Positive
"     Um no, I was sharing a CDC article about actual Covid deaths ...that's not parroting Lamestream media and Hillary Clinton lawyer sites. Twitter censors even a picture of Santa and baby Jesus cause their ""fact checkers"" are BS, but that's another discussion for another day",0.1,0,Neutral
"Thought you all should know the US per capita seafood consumption by the lb from 2008 through 2018.

This is the exactly the kind of information the elites hide from you on the Lamestream Media!
No more, I say!
👁️ ",0.55,0.229166667,Positive
" Radical liberal, leftwing, lamestream media, far left agenda... ",0.5,0.05,Positive
" I had to read some of the one star reviews, most of which were left by people who hadn’t seen the movie. Even from those who were verified they parroted lamestream media. Sad people are so brainwashed.",0.5,0,Neutral
"Democrats knew they could not beat Trump with the record setting Trump Economy going gang-busters!!!!  
  --&gt; bring on the CoronaVirus!
    --&gt; on cue, LameStream Media starts blaming Trump",0,0,Neutral
I Love it when the President Slams The LameStream Media!!! gg ,0.6,0.9765625,Positive
"     Exactly, Brian.  Zero enthusism for Biden or Harris, but the Lamestream media wants us to believe China Joe is more popular than Obama?  🤣🤣🤣",0.4375,0.3875,Positive
" Kelli, Welcome to Twitter. Know one thing: free speech of a conservative nature isn't, ahem, encouraged. The latent lamestream liberal media bias exists here as well. I know, I've been censored here 3 times! Enjoy! . . . PRS (Paul Revere Society).",0.733333333,0.6,Positive
"   Once again your brainwashed by the lamestream media!  He shut down the country while Nancy Pelosi was inviting people to Chinatown to have a party !  If you can’t see this is about control and fear mongering, that really sucks for you!",0.294444444,-0.284722222,Negative
       The most likely possibility is that you believe your lamestream media narrative and we believe the truth. That’s all there is to it. Trump will be president for 4 more years on Jan 20,0.666666667,0.333333333,Positive
 Were they as debauched and degenerate as the fake news lamestream media says they were?,0.95,-0.65,Negative
"   Do you know ratios and algorithms? It was set at 3:1 or 4:1 so that for every 1 vote for Trump and Biden, Trump would receive 1 and Biden would get 3 or 4. Give up the lamestream media narrative and research for yourself!",0,0,Neutral
" Agreed, back in the day,  was doing actual journalism, until the predator class blood money started rolling in. Then they turned into lamestream media. Very sad",0.366666667,-0.216666667,Negative
"The Left propagranda wonder why we call them the ""enemy of the people"" , ""fakenews"" , ""suppression news"" , ""lamestream media"". ",0,0,Neutral
" If you are a right wing lunatic running for office... just answer any and every question with buzz words/phrases

- left wing media/lamestream media
- real america/ real americans
- freedom
- dems want socialism
- immigrants are bad

works for all questions",0.36047619,-0.002857143,Negative
"    It's not just the US media that sees Trump as a liar and creator of chaos and havoc, it's the world media. One day you'll see Trump for what he is, they all can't  be as you call it, Lamestream. Try fact checking",0,0,Neutral
"  TV  has joined ranks with all other ""Fake News"".  Use your own judgement - don't let the Lamestream media lead you around by the nose !",0.791666667,0.041666667,Positive
 Plus the Lamestream Media refuses to report on it! We are under attack (victims). MAGA,0,0,Neutral
The Lamestream media will NEVER do an apples to apples comparison  ,0,0,Neutral
"So we’re just letting states hide such dangerous weapons??? With ZERO oversight???? And look at how quiet the lamestream media is about this!! Mark my words, hiding them today to weaponize tomorrow!!! And then it’ll be too late!!!!

Lambs to the slaughter! ",0.583333333,-0.378881836,Negative
 Mid 30’s and my Dad isn’t but my Mom is obsessed with Lamestream Media and whenever I tell her what’s up she still says “Why didn’t I see it on the News if that’s so true?”,0.55,-0.05,Negative
"  And all those swing states - GA, PA, MI, AZ, NV, etc - spiked in the middle of the night. Planned? Of course! Too bad the lamestream media/cable channels don't have investigative reporters.

",0.333333333,-0.35,Negative
    If you want to believe the lamestream media sure go right ahead !! 🤣🤣🤣,0.712301587,0.473214286,Positive
" ..just throw out the dog meat for her base and that's  it?..is that what a debate is?  Buzz words and rehearsed talking points by Loeffler...and then to hear lamestream media buy into it by saying "" she accomplished what she came to do""...WTF",0.75,-0.3,Negative
"Nooooo, Lamestream media wouldn’t make stuff up😉some day soon..we will tell ridiculously funny stories about these endtimes in the Matrix we destroyed 🌟💥💥💥  ",1,0.25,Positive
  Lefty woke 😂😂 you'll be saying lamestream media next!,0,0,Neutral
 this was TOTALLY AWESOME!! I with EVERY american could see this despite lamestream media and big tech censorship of the truth.,0.366666667,0.333333333,Positive
It seems to me that the commie warlock gets softballs and Loeffler gets harder questions.  is just another lamestream lying liberal media.,0,-0.1,Negative
 Same goes for the lamestream media,0.125,0,Neutral
"Is James' contention that people are actually dying of all of these other causes and then are being recorded as COVID deaths when, in fact, the cause of death was, I don't know, a car accident?

Like, I know the lamestream media etc etc but this is ridiculous.",0.491666667,-0.152777778,Negative
"I think this is a huge money scandal, I wonder if I started throwing bottles at people. Trying to Force people to buy the lies everywhere wearing masks? if the lamestream media had any respect
Would concur? put on your helmets were coming.",0.9,0.4,Positive
The lamestream media says Biden “won.” OK then why is Trump still President?,0.5,0.5,Positive
 Lamestream media is just as guilty as the perpetrators in the election fraud!,1,-0.625,Negative
"   Actually, it's Operation WarpSpeed.  Keep listening to Lamestream Media.  They are blinding the pubic with the lies.",0.1,0,Neutral
 Damn deifnitely got the lamestream media on this one,0,0,Neutral
 O assassinado é negro? O assassinado é bandido? O assassinado não importa para a lamestream media? Por ser branco? Por ser policial?,0,0,Neutral
 He didn’t say it prevented COVID .. always taking everything POTUS says out of context. SMH if you knew anything about the drug and COVID you would understand how it can help hospitalized patients but you are to brainwashed by lamestream media.,0,0,Neutral
Amazing.  Brits think they are knowledgeable about the US media because they have access to the Internet.  Having access to the Internet is not a substitute for living here and experiencing the lamestream media first hand day in and day out.  Foreigners have no clue.,0.616666667,0.425,Positive
   I so hope there is a reckoning coming soon. The lamestream media continue with the same claptrap. Hiding and ignoring.,0.125,0,Neutral
"  When crackpots are exposed for what they are, they complain about the LAMESTREAM media, sound familiar, Donald?",0.45,0.3875,Positive
"    Actually saw the lamestream media add a new word, Unfounded, to their vocab the other day. There are none so blind than those who will not see.",0.39905303,-0.122159091,Negative
I’m Mellissa Carone and I’m here to address the LIES the LAMESTREAM media has said about me! 🐘🇱🇷 ,0,0,Neutral
This is more proof that main stream media has been misleading the left’s followers!  MSNBC has just essentially admitted that they are allowed to lie and decide what viewers see and hear and are butthurt that it’s been revealed! CNNtapes msm lamestream fakenews msnbc cnn ,0.283333333,0.166666667,Positive
"I wish lamestream media would stop saying there is no more good news to be had.  Maybe tRudy got if from that drunken broad who acted as his twitness.

",0.470833333,0.170833333,Positive
"    The problem is,liberals don't read.They preferred been spoon fed by the lamestream media.",0,0,Neutral
"                                                 Yes Navy in my last Spec Op mission
I'd do it again
It was a good thing &amp; needed to be done &amp; my sacrifice is irrelevant for the greater good
I'd do it again tomorrow, even for all these leftists
They are confused by the LAMESTREAM media &amp; big tech
They are brainwashed",0.50952381,0.142857143,Positive
"   Tough questions 😂
As if the lamestream media asked anything other than ridiculous, loaded questions to fuel their propaganda.",0.577083333,-0.236805556,Negative
"The lamestream media is ignoring us in Des Moines, IA, but we have your back here, Mr. President.   YOU ROCK &gt;&gt;, , ,,,,,, .  StopTheSteal ",0,0,Neutral
" ABC News???   C'mon Kelly!   That's one of the very same LAMESTREAM MEDIA (copyright 2008, Sarah Palin Homespun Industries Co., Inc.) outlets that has reported that Dear Leader Trump lost the election and Joe Biden won!!
Fake News - ALL of it!!!",0.58125,-0.48828125,Negative
" More of the running from the issues,talking around what really matters to black,thank GOD for The New Black Media,the only reason to watch lamestream media is to stay informed of the skull duggery that is propagated 24/7.",0.517575758,0.133939394,Positive
" GREAT QUESTION! 
    LameStream Enemyofthestate media Section230 ",0.75,1,Positive
"What Fox News and other lamestream liberal media isn’t telling you is that if you look at the hour, minute, and second of each Rudy fart those numbers spell out JFK JR.",0.1875,-0.0625,Negative
"Are liberals and progressives trying to tell me that everything the lamestream media reports about Trump is truthful?  Really?  Anyone who believes that fairy tale truly is suffering from Trump derangement syndrome, that there truly is a sucker born every minute.",0.5,0.133333333,Positive
"       Trump was/is helping the economy. Trump is not responsible for COVID. It was sent to us courtesy of the CCP. Even the lamestream media is (yes, media is singular) is beginning to report the truth on this issue alone.",0.55,-0.1,Negative
"That explains it! And the lamestream media won't cover this galaxy breaking news, SAD ",1,-0.5,Negative
"I agree w/your obvious typo! Don’t You mean from the bottom of your fraudulent heart you say F**K QuidProQuoJoe Biden?! So sad that the only reason he’s claiming 2b Pres-Elect is because Soros &amp; the lying, cheating Lib/Dem Bolshevik Party also has paid off the LameStream Media! ",0.796875,-0.22265625,Negative
 Good CNN is a joke and they brought it on themselves!.. They spread lies and propaganda!... It's CNN and the lamestream media that is causing all the division in our country!,0.35,0.359375,Positive
     There are millions of cases like that too. It's being hidden from the sheeple because they are still being brainwashed by the lamestream media. There's no explaining anything to them either. They spew hate in return,0.616666667,-0.483333333,Negative
  Not wanting to see blood is why the lamestream media no longer sends reporters into war zones. Just saying.,0,0,Neutral
    You saying that 46 of the 50 lawsuits the trump campaign have not been rejected and it's just the 'lamestream media' telling us that?,0,0,Neutral
    No one trust the poll conducted &amp; associated with lamestream media like ,0,0,Neutral
   They are being caught. If you watch real news instead of letting lamestream media feed you crap you would see what's going on.,0.55,-0.3,Negative
"      Trump is the only president in decades that hasn't started wars, he's ended them. He negotiated peace in places no one thought possible. He's done far more to fight human trafficking &amp; he's gotten rid of the Obama cages
You need to not listen to your friends &amp; LAMESTREAM media",0.72,0.12,Positive
"  Twitter,Facebook and the lamestream media are an enemy of democracy",0,0,Neutral
    Many of us stopped watching lamestream media several years ago. We knew they’ve been a propaganda machine for the crazy Left.,0.3,-0.04,Negative
   Wait is the lamestream media fake or not? I’m so confused 🤔,0.85,-0.45,Negative
   The cheat focused on the 4 most corrupt Democrat run cities. The fraud is being exposed and the LameStream Media will be forced to cover it soon. Get ready.,0.55,-0.025,Negative
  That’s the job of the Lamestream Media...,0,0,Neutral
 The lamestream media pundits are either too dumb to recognize evil...or they do recognize it but are too busy chasing a pay check. ,0.4,-0.1375,Negative
"  In what way was he divisive? Name something other than the lies from lamestream so called media outlets. You can't yet you'll spew the same nonsense as the ""FAKE NEWS LEADER CNN"" 
CantFixStupid",0.5,-0.208333333,Negative
"Hey lamestream media, Quit being jackasses! President Trump, that's ""Mr President Sir"" to all of you, deserves respect! He holds the highest office, he works hard for all of us, even you. Show some respect! You all look &amp; sound so ridiculous &amp; un-American! The world's watching!",0.710416667,-0.316666667,Negative
tomi takes down the lamestream media ,0.288888889,-0.155555556,Negative
" I had no idea ""Jews"" killed over 250,000 people this year.  

What ELSE is the lamestream media hiding from us?",0,-0.2,Negative
" Well, you would have to listen to something other than the lamestream media to understand.  Maybe the next four years will educate you better one way or the other.",0.3125,0.0625,Positive
"  So, you believe what the LAMESTREAM Media tell you, that's your problem! You believe what they want you to believe! I'm not buying any of it",0,0,Neutral
"  Thank you!
Just don't understand why people can't see through the lamestream media lies!",0,0,Neutral
"    FOX NEWS IS DEEP STATE COMMY CRAP!

SIR! WHEN TRUMP DICTATORSHIP STARTS, DESTROY ALL LAMESTREAM MEDIA &amp; IMPRISON ANCHORS ALONGSIDE ALL DEMS 

LIBS WILL AGREE AFTER MASS INTERNMENT AND REPROGRAMMING. 

HANNITY TO HEAD STATE RUN TRUMP TV TRUTH NEWS AND RUSSIA TODAY. 

MAGA 🇷🇺🇸🇦🇺🇸 ",0.4,-0.4,Negative
 the LAMESTREAM media is afraid to ask the white house this,0.45,-0.3,Negative
 Why won't the Lamestream Media investigate our hoaxes????,0,0,Neutral
 And the  Lamestream  media.,0,0,Neutral
"   Maybe so, but the lamestream media and (se)elected officials say otherwise. Wussup with that?",0,0,Neutral
   Ok no 1 believe the lamestream media somemore. Wats happening now lol. Why don't u just hid in the bushes and watch so u can hide ur tears,0.6,0.65,Positive
"  Your arrogance doesn’t work on me. Stick straight to the point.
The Lamestream media doesn’t allow to announce officially who is the elected president. 
Let’s wait and see what is going to happen on 20/1. I know already 🥰
🥁🥁🎯🎯🎯🎯",0.4,0.2,Positive
   So true! When will the librul lamestream media start reporting on that?! 🤣,0.65,0.546875,Positive
"     Your ""Valid Sources"" Are Probably Fake News Fact Checkers Like Snopes And Lamestream Media Like CNN And Fox News. 

Lol.",0.85,0.15,Positive
"  Hhhhhh dear, he was declared by the Lamestream media against the rules of constitution. 
Your lack of knowledge of the laws is remarkable and surly by political bias.
LOL",0.516666667,0.516666667,Positive
  Lamestream media!,0,0,Neutral
"  Interesting, but I guess it doesn't focus in the real cheaters nowadays. I guess the problem is not in Trump, Poland or Hungary. Is much more in their Democrat and Franco-German rival.

",0.433333333,0.4,Positive
" ""Walleyworld, Dad?"" (Audrey Griswold, from ""Vacation"", circa 1984)

the lamestream media, perhaps?
the , most certainly-but I repeat myself.",0.5,0.5,Positive
" Looks like  video response agrees that its ok to broadcast biased information rather than factual news. 

Maybe those at MSNBC and other lamestream media outlets should make declaration that they are biased so individuals watching don't mistake bias info for factual news",0.4375,0.1875,Positive
"   Not for a second!

We won and we need to act. Lamestream media has capitulated.   gives us facts and wisdom!",0,0,Neutral
" The content of the tweet is so incredible, yet the script is to attack someone's handle? Typical Lamestream media",0.7,0.366666667,Positive
 The lamestream media is DONE.  The real news is independent platforms like The Dan Bongino Show now.  Because your show is not immune to the facts.  Thank you so much Dan for all that you do.  Get well soon my friend.  God bless America...,0.208333333,0.133333333,Positive
 Oh yeah the LAMESTREAM MEDIA is starting to see we don’t like their garbage!,0.1,0,Neutral
"For Democrats wish the American People will stay silent, because she and the lamestream media puppets for Democrats know Democrats did committed FRAUD! Democrats are a disgrace to America! The Republicans will Stand With President Trump and will continue his amazing agenda!",0.333333333,0.25,Positive
" Most of the LameStream Media is culpable in perpetrating the fraud of this presidential election.  They refuse to report on it. Then if they do, say there’s no evidence, etc.  was right all along: the media are the enemy of the people.",0.517857143,0.392857143,Positive
   The battlestates 🙄 Has the lamestream media blinded you from the truth?,0,0,Neutral
 She's just giving us a truth that the lamestream media doesn't want us to know.,0,0,Neutral
"     That’ll be why surgeons, carpenters, dentists, plasterers etc, who wear masks for hours every day, are all dead by the age of 35. 

But you don’t see that in the Lamestream Media do you? Wonder why? 

Could be the Lizard people want to inject us all with 5G tracking chips?",0.4,-0.2,Negative
"From President Trump!! Starting MONDAY. Vaccine is available to anyone who wants it. Not mandatory as the lamestream media would have you believe. 
We are finally free of the plandemic 
",0.35,0.25,Positive
"   ""Systemic racism"" is nothing but socialist democrat lies, lamestream media lies and big tech lies. 

However when and where racism occurs we need to stomp it out",0.1,0,Neutral
"  Not watching any cheaters, liars, or lamestream media.",0,0,Neutral
  Lamestream media will lie and cover up for the Demonrats.,0,0,Neutral
The sellout Lamestream Media are shooting themselves in the foot serving the globalists ,0,0,Neutral
" Lamestream media Wouldn’t know the truth from a lie, if it bit them on the ass!",0,0,Neutral
" We all know that you and the rest of Lamestream Media will ""downplay"" the virus if under Biden's watch. 

People will just keep doing what they're doing (wearing masks or not) and the Covid cases will start to drop, just because it's all part of the great fake media script.",0.875,0.15,Positive
 Lamestream Media believes lies are the truth... ImagineThat,0,0,Neutral
"WaitLetMeGetThisStraight

Last four years:
1. Witch hunt
2. Lamestream media
3. Fake news
4. Hoax

Now:
Preemptive pardons for LiarInChief and Co ",0.533333333,-0.25,Negative
I do not want anyone to be threatened. It just seems odd that the lamestream media reports on threats against their accomplices but they don’t report on the treats and actual violence perpetrated on those that don’t agree with them. ,0.175,-0.083333333,Negative
"   This is a sad reality &amp; whether u like him or not, Tommy R has spoken up about the above pic/meme. Pity the rest of u r too busy nitpicking about his name &amp; other bullcrap u regurgitate from the lamestream media 💔",0.395,-0.125,Negative
real lamestream media when u don't cover protests happening in Ur own city innit loooool,0.65,0.4,Positive
" I CAN SEE THE TOTAL END OF THE demonrat PARTY WHEN ALL THIS CORRUPTION IS REVEALED TO EVERYONE...

RIGHT NOW THE STUPID libs ARE ONLY SEEING WHAT lamestream media SHOWS THEM

OUR TIME IS COMING!",0.821428571,-0.128571429,Negative
  GQ iS In On It wItH ThE lAmEsTrEaM mEdIa,0,0,Neutral
"   Everyone knows that the Canadian lamestream media is in the tank with Globalist special interests.  They want to demoralise the population with fear tactics.  Now they want to go after some of the holdouts who are not towing the line, like the auditor general.",0.535714286,0.203571429,Positive
" No surprise the lamestream media corruption, lies, and malfeasance has fully intended to mislead and in fact control the false narrative that ""Orange Man Bad""...
IMPEACHMENT, COVID-19, RIOTS, BLM, ANTIFA, VOTER FRAUD, ALL COMPLETELY NORMAL FOR THE FAKE NEWS MEDIA AND DEMONRATS!",0.729166667,-0.39375,Negative
"   And her name is DAWN. as in ""Hermetic Order of the Golden Dawn"", the secret society devoted to the occult. but The LAMESTREAM media won't talk about it. Wake up Sheeple!",0.6,-0.1,Negative
     Oh yeah im sure you got inside numbers the cdc doesn't know about. You're a smarty genius pants that knows all the real American truths that lamestream media doesn't want us to know.,0.444444444,0.25,Positive
  These deep state Democrat appointees are so crooked and criminal they can't lie in bed straight. Folks denial is not a river in Egypt! The phony Lamestream media calls Trump out when he accuses people but he has been right every time! That includes the election fraud!,0.397142857,0.059285714,Positive
"Soon they will be choking on their own lies.

It's going to be delicious to watch.

Reckon the lamestream media here and in the US will actually start saying that fraud is acceptable in elections.

Jan 20 Trump inauguration is going to be EPIC.

BREXIT X 1000 ",0.625,0.425,Positive
" TOTALLY FRAUDULENT! !!     ""This claim about election fraud is disputed by many sources"" that  &amp;   keeps putting up is only disputed  by the FAKE FRAUDULENT LAMESTREAM MEDIA.   Most MSM anchors SHOULD be behind bars!!",0.741666667,-0.020833333,Negative
" I have been thinking of the proper term for the media... lamestream-- fake news etc.. After much thought, I think I have finally decided on the term ""clown media""",0.575,-0.075,Negative
The Lamestream Media is doing a major Fake Town Hall Previously Told Network They Were Voting Biden.,0.555555556,-0.201388889,Negative
"   The Nazis in pre-WWII had a word for Fake News/Lamestream Media.  They called it ""Lügenpresse"".  Just like DT, the Nazis wanted to discredit their political opponents and the free press.  Funny how history repeats itself...
TrumpIsALaughingStock ",0.725,0.0375,Positive
Cruelly overlooked by the lamestream media yet again  ,1,-1,Negative
" Yep, the lamestream media.😂",0,0,Neutral
 I don't listen to the lamestream media like all the other sheeple,0.375,-0.125,Negative
  Correct. Not Lamestream Media Corp over on FB is reporting on this every day.,0,0,Neutral
" paid $45,000 in hush money to rape accuser Gage Arthur, not just $10,000 as widely reported in the lamestream media. ",0.4,-0.1,Negative
"Sidney Powell is standing up to the DC swamp and the lamestream media who has lied about Trump2020 nonstop. The actions of the Democrats and the fakenewsmedia are what's telling about election2020 fraud, when they don't want to discuss the issue it's probably occurring",0,0,Neutral
So tired of the lamestream media not reporting on anything besides the vacc1ne! People realise if a safe med works they can’t fast track a 💉?⁦⁩ ⁦⁩ ⁦⁩ ⁦⁩ ⁦⁩ ,0.6,0.066666667,Positive
   Most likely answer is NO.  Real journalists have been silenced so the lamestream media 'buy' any unsubstantiated 'copy' from Reuters or AAP these days. Sad that The Oz has succumbed as has Sky.,0.7,-0.025,Negative
"     What Biden and his team of corrupt individuals is executing a fourth attempt of a Coup. Everyone knows it to be true except the proud but ignorant followers of the propagandist Lamestream Media. This election was a complete fraud by big tech, Dems, MsM and the Deep State!! FRAUD!",0.507142857,0.107142857,Positive
"COMMENT: Britain’s bonkers mainstream media (MSM) has attacked ‘right-wingers’, accusing them of being ‘conspiracy theorists’ with the Manchester Evening News using the death of Emily Jones to spread hate.  via ",0.9,-0.8,Negative
"  🗣I concur and folks fall for the liberals + lamestream media narratives that they ""reliably blue or red"",but fraud is across the board,but I believe it is more widespread &amp; rampant in blue cities/states than red cities/states.This 2020 election revealed what have been going on!",0.14,0.1,Positive
"arresthillaryclinton
We're sick of your lies that divide us,  and Lamestream media.
Trump2020NowMoreThanEver 
Godisgood",0.857142857,-0.714285714,Negative
  He’s never lost anything. You’re deluded by the lamestream media.,0,0,Neutral
     Election FraUd Happened and CORRUPT COURTS dont want to hear it just throws it out cause the SWAMP IS DEEPER THAN IT IS ... and oh its far FROM OVER... not like lamestream MEDIA IS SAYING,1,-0.2,Negative
" Unless you are lamestream media, which you are",0,0,Neutral
"   Oh boy🙄 another MSM parrotor with his ""46 cases thrown out"" shite...gawd, does anyone listen or do real research anymore? Or do y'all just regurgitate idiotic opinions from the lamestream media?",0.566666667,-0.233333333,Negative
"    No, you’ve got it backwards. After 4 years of non-stop lies like the Russian collusion hoax, the fine people hoax, the Kavanaugh hoax and the impeachment hoax, we naturally have more trust in Trump than we do with the lamestream media and the Democrats.",0.35,0.254166667,Positive
