tweet,subjectivity,polarity,score
" Our Kind of People: INSIDE AMERICA’S BLACK UPPER CLASS

Summers in Martha's Vineyard. Membership in the Links, Jack &amp; Jill, Deltas, Boule, and AKAs. An obsession with the right schools, families, social clubs, and skin complexion. 

Lawrence Otis Graham

  ",0.387142857,0.15047619,Positive
" Cecilia Rouse (Chi Omega sorority) is married to Ford Morrison, the son of author Toni Morrison. ",0.25,0.25,Positive
Clip of johnghorse on latest episode of peopleactivityradio podcast. fba thecodeistheleader noantiblackracism fba ados doas tangibles2020 cutthecheck vgq boule reparations YouTube Channel:  ,0.9,0.5,Positive
neelyfullerjr speaking about the existence of the boule on the latest episode of peopleactivityradio podcast hosted by johnghorse. noantiblackracism fba ados doas Reparations tangibles2020 YouTube Channel:  ,0.9,0.5,Positive
 Tangibles2020,0,0,Neutral
"💯
tangibles2020
tangibles2021 ",0,0,Neutral
"FBA  it appears that JoeBiden has a 'strange way' ofthanking Blackpeople for their vote!
🤦🏾‍♂️
BlackGirlMagic 
FBAVOICES Tangibles2020 
New York Post : Progressives enraged over Joe Biden picking Neera Tanden for OMB.
",0.302272727,0.036931818,Positive
"Thanks for your Vote Black folks  FBA 
Tangibles2020 ",0.316666667,0.016666667,Positive
Clip of jilltracey interviewing tariqnasheed 3/18/2018 about talented10th on latest episode of peopleactivityradio podcast hosted by johnghorse. fba tangibles2020 noantiblackracism vgq YouTube Channel:  ,0.9,0.5,Positive
CIVICS (REPARATIONS) &amp; ADVANCED POLITICAL ENGAGEMENT: ,0.35,0.2,Positive
" since you got the Black vote, what are your plans to specifically help FBA who are homeless?

Should we expect substantive action or more benign neglect from democrats? 

Would you ignore them if they were lgbt or kids of illegalaliens?
SanDiego TANGIBLES2020 ",0.344444444,0.144444444,Positive
"FBA The ""Bay area"" is very liberal, right?

It's also home to some of the most strident anti-Black RACISTS!!!
Study: Marin County Home To Many Of Most Segregated Cities In Bay Area.

NoAntiBlackRacism antiblackwar Tangibles2020 FBAVOICES",0.467142857,0.492455357,Positive
Clip from latest episode of peopleactivityradio podcast hosted by johnghorse. vgq thecodeistheleader neelyfullerjr fba noantiblackracism tangibles2020 reparations cutthecheck YouTube Channel:  ,0.9,0.5,Positive
"Dear Power Structure:
Keep your equality I WANT EQUITY! Keep your inclusion INWANT AUTONOMY! Racing a Ferrari with a bicycle from the same starting line isn’t fair just like being drug from the back of the Ferrari isn’t the same as catching a “ride”.  Tangibles2020 B1",0.358333333,0.216666667,Positive
"FBA man who had SOLID ALIBI, held for 40 days on false charge.

This is yet another example of why Tangibles2020 and reparations are due!

NoAntiBlackRacism antiblackwar FBAVOICES 
     ",0.358333333,-0.185416667,Negative
"Great story here.

This FBA man survived living on skidrow as a child, to Semi-pro football.

Where's the emergy from  and  advocating for us, like they were 'bellicose' for the illegalaliens
🧐
Tangibles2020 FBAVOICES 

",0.75,0.8,Positive
"FBA in StLouis have been strangled for resources. 
St. Louis Post-Dispatch: ‘Black is back’: A new grassroots effort aims to revitalize north St. Louis.

NoAntiBlackRacism Tangibles2020 FBAVOICES",0.295959596,-0.01010101,Negative
"    WHAT IT SAYS IS, IN ORDER FOR YOUR CHILD WITH 𝐂𝐔𝐑𝐋𝐘 BLACK HAIR, BROWN EYES, AND 𝐃𝐀𝐑𝐊 SKIN, TO BE ABLE TO LEARN ANYTHING, HE NEEDS TO SIT NEXT TO MY BLOND-HAIRED, BLUE-EYED SON. THAT’S RACIST! 

(D)  ＇＇* 

*  ",0.352777778,0.111111111,Positive
"   CIVICS  &amp; ADVANCED POLITICAL ENGAGEMENT 9000:

I LIKE THE TOKEN BLACK, WITH A TOKEN WOMEN, I WAS THE TOKEN YOUNG PERSON.＇＇

(D)  SWS DIXIECRAT＇＇ ",0.383333333,0.083333333,Positive
"   CIVICS &amp; ADVANCED POLITICAL ENGAGEMENT: 

IF YOU DON'T UNDERSTAND WHITE SUPREMACY, WHAT IT IS, HOW IT WORKS, EVERYTHING ELSE THAT YOU THINK YOU UNDERSTAND, WILL ONLY CONFUSE YOU!＇＇ ",0.425,0.1,Positive
"   REPARATIONS &amp; ADVANCED POLITICS:

IN THIS GAME OF DECEIVING AND USING THE AMERICAN NEGRO, THE WHITE LIBERALS HAVE COMPLETE COOPERATION FROM THE 𝐍𝐄𝐆𝐑𝐎 CIVIL RIGHTS LEADERS, WHO SELL OUR PEOPLE OUT FOR A FEW CRUMBS OF 'TOKEN' RECOGNITION 'TOKEN' GAIN, 'TOKEN' 'PROGRESS!'

X＇ ",0.25,-0.025,Negative
"   ADVANCED POLITICS 9000:

THE WHITE LIBERAL DIFFERS FROM THE WHITE CONSERVATIVE ONLY IN ONE WAY. THE LIBERAL IS MORE DECEITFUL, MORE HYPOCRITICAL THAN THE CONSERVATIVE.

BOTH WANT POWER! BUT THE WHITE LIBERAL HAS PERFECTED THE ART OF POSING AS THE NEGRO' FRIEND &amp; BENEFACTOR!＇ 

X ",0.371428571,0.217857143,Positive
"KamalaHarrisVP  HEELSUPHARRIS 
tangibles2020 ",0,0,Neutral
"Enjoy the view FBA 

Join  
👇🏾👇🏾👇🏾

Tangibles2020 ",0.5,0.4,Positive
"FBA 
Blackpeople put BidenHarris in the white house. 

Here's how he's repaying them...
bussylivesmatter
Global News: Biden planning to protect, advance LGBTQ2 rights after taking office.

NoAntiBlackRacism Tangibles2020 FBAVOICES",0,0,Neutral
" One bad turn deserves another.  Does it not?

FBA Tangibles2020 B1 CuttheCheck",0.666666667,-0.7,Negative
"FBA 
Since everyone else is promoting their businesses 

Let's start a thread HERE,  to promote all FBA businiess owners 
ShopSmallSaturday 
shoplocal 
BlackFriday 
FBAVOICES Tangibles2020 
✊🏿✊🏿✊🏿🔥",0,0,Neutral
"Did Black people really vote for joebiden bidenharris?
NoAntiBlackRacism Tangibles2020 ",0.316666667,0.016666667,Positive
